name,ab,r,h,2b,3b,hr,sb,cs,bb,so,ba,obp,slg,ops,tb,hbp,sf,season
Rank in 8 NL teams,2,1,3,1,5,3,2,4,4,5,5,2,2,2,2,4,1,1958
Rank in 8 NL teams,7,3,5,3,7,2,2,5,7,6,5,5,3,3,3,6,5,1959
Rank in 8 NL teams,2,3,3,3,1,4,2,6,6,5,3,6,3,4,3,2,5,1960
Rank in 8 NL teams,6,1,4,5,8,2,2,8,4,4,4,3,1,1,2,5,2,1961
Rank in 10 NL teams,4,1,1,3,9,1,5,9,5,2,1,1,1,1,1,3,2,1962
Rank in 10 NL teams,2,2,2,4,8,1,8,5,8,2,2,2,1,1,1,3,5,1963
Rank in 10 NL teams,7,6,9,8,7,1,5,3,1,4,8,6,6,6,6,5,3,1964
Rank in 10 NL teams,7,4,5,10,5,3,8,1,7,1,5,4,3,4,5,10,5,1965
Rank in 10 NL teams,5,5,9,9,9,2,10,1,7,2,9,8,4,5,4,8,10,1966
Rank in 10 NL teams,3,4,6,7,7,2,10,1,3,8,6,5,4,4,4,3,10,1967
Rank in 10 NL teams,7,3,6,10,6,2,8,2,1,4,6,2,5,4,6,2,3,1968
Rank in 12 NL teams,6,4,7,9,11,5,7,1,1,9,7,2,6,5,8,1,3,1969
Rank in 12 NL teams,4,1,6,1,10,4,6,2,1,9,6,1,3,2,3,1,7,1970
Rank in 12 NL teams,8,3,7,3,5,3,2,4,1,12,7,3,4,3,4,2,9,1971
Rank in 12 NL teams,8,5,8,5,8,1,2,5,7,10,8,8,4,6,5,6,6,1972
Rank in 12 NL teams,5,3,4,8,1,2,2,9,4,8,3,3,2,2,3,2,7,1973
Rank in 12 NL teams,9,10,8,5,6,10,7,7,8,10,8,7,9,10,9,4,12,1974
Rank in 12 NL teams,10,7,7,5,4,9,7,5,5,5,5,4,6,6,7,11,2,1975
Rank in 12 NL teams,8,10,8,8,6,8,8,4,6,4,9,10,9,9,9,7,4,1976
Rank in 12 NL teams,11,10,11,9,8,6,9,5,5,5,10,8,9,8,9,10,3,1977
Rank in 12 NL teams,11,7,11,6,7,6,11,4,4,4,10,7,6,5,6,12,10,1978
Rank in 12 NL teams,11,8,11,12,9,7,3,9,3,12,11,7,9,9,9,11,4,1979
Rank in 12 NL teams,12,12,12,11,6,9,10,4,5,6,12,11,11,12,12,11,4,1980
Rank in 12 NL teams,1,6,6,5,8,6,6,10,1,8,8,5,7,7,4,8,10,1981
Rank in 12 NL teams,8,8,9,12,9,4,11,1,1,11,9,2,5,5,6,12,8,1982
Rank in 12 NL teams,11,4,10,10,10,2,9,9,2,10,10,5,7,7,9,4,5,1983
Rank in 12 NL teams,1,5,1,8,10,3,9,11,5,10,2,3,3,3,3,9,10,1984
Rank in 12 NL teams,12,12,12,11,7,8,9,6,11,11,12,12,11,12,11,1,12,1985
Rank in 12 NL teams,5,4,6,2,8,9,8,11,8,11,7,4,9,9,8,2,12,1986
Rank in 12 NL teams,1,3,6,5,8,2,10,12,9,11,7,10,3,4,3,1,9,1987
Rank in 12 NL teams,5,2,5,9,4,3,8,11,2,11,5,2,5,3,4,4,3,1988
Rank in 12 NL teams,8,2,3,6,2,2,10,3,6,12,4,5,1,1,2,1,12,1989
Rank in 12 NL teams,2,4,3,11,6,3,10,6,9,9,3,5,4,4,2,2,8,1990
Rank in 12 NL teams,5,7,7,10,3,3,11,4,11,7,7,8,5,5,5,1,12,1991
Rank in 12 NL teams,10,11,11,11,8,5,9,9,11,12,11,12,10,10,10,4,12,1992
Rank in 14 NL teams,4,2,2,5,8,2,7,12,6,6,1,3,1,2,2,5,6,1993
Rank in 14 NL teams,11,10,14,14,3,4,4,9,9,7,14,13,9,12,10,5,13,1994
Rank in 14 NL teams,3,8,12,10,5,5,3,6,7,14,12,11,6,10,5,2,14,1995
Rank in 14 NL teams,7,9,11,12,13,5,8,9,1,13,12,5,12,12,12,7,11,1996
Rank in 14 NL teams,11,4,10,13,6,4,8,2,2,10,10,6,5,3,6,8,1,1997
Rank in 16 NL teams,4,2,3,5,13,7,6,11,1,3,3,2,6,5,6,10,3,1998
Rank in 16 NL teams,11,3,7,4,15,7,11,11,3,5,7,2,5,5,6,1,13,1999
Rank in 16 NL teams,10,3,4,4,2,3,13,4,1,5,2,1,2,2,2,10,2,2000
Rank in 16 NL teams,2,5,4,5,2,1,16,6,2,9,5,3,2,2,2,13,3,2001
Rank in 16 NL teams,8,3,4,2,5,2,13,1,3,3,3,2,1,1,1,4,2,2002
Rank in 16 NL teams,14,6,10,10,9,7,16,9,3,4,6,5,5,5,9,16,10,2003
Rank in 16 NL teams,7,2,7,3,6,9,16,1,1,1,4,1,5,3,5,3,4,2004
Rank in 16 NL teams,12,15,9,7,11,14,11,8,15,1,7,16,13,15,13,13,8,2005
Rank in 16 NL teams,15,10,14,10,3,11,15,2,14,1,13,15,10,13,12,12,15,2006
Rank in 16 NL teams,13,15,15,16,4,14,4,10,8,2,14,14,16,16,16,16,16,2007
Rank in 16 NL teams,8,15,8,6,3,16,6,14,15,6,8,13,15,15,15,12,6,2008
Rank in 16 NL teams,7,13,10,13,4,15,10,2,16,9,11,16,14,16,14,11,2,2009
Rank in 16 NL teams,8,9,7,9,8,6,15,6,13,5,7,9,6,8,6,7,9,2010
Rank in 16 NL teams,10,16,13,6,12,11,13,14,14,6,14,16,14,15,14,8,6,2011
Rank in 16 NL teams,4,6,3,7,1,16,4,7,7,2,3,4,8,7,8,16,1,2012
Rank in 15 NL teams,5,10,5,6,3,14,10,2,7,1,4,7,12,10,11,14,5,2013
Rank in 15 NL teams,8,5,4,10,2,7,15,4,11,5,4,7,6,6,6,11,1,2014
Rank in 15 NL teams,5,5,2,4,4,12,7,8,10,3,1,1,4,4,3,7,8,2015
Rank in 15 NL teams,3,9,4,6,2,13,8,8,3,1,4,4,11,10,10,13,3,2016
Rank in 15 NL teams,4,14,9,5,10,15,10,11,14,2,11,14,15,15,13,14,1,2017
Rank in 15 NL teams,5,14,10,9,7,14,7,10,15,13,10,14,14,14,14,14,6,2018
Rank in 15 NL teams,5,14,12,5,7,13,14,7,13,7,14,14,14,14,14,14,3,2019
Rank in 15 NL teams,5,5,3,3,2,7,12,3,10,8,4,6,5,5,5,11,7,2020
Rank in 15 NL teams,2,2,2,6,5,1,8,1,2,11,2,3,1,1,1,11,11,2021
Rank in 15 NL teams,12,7,12,9,11,6,11,1,4,12,12,7,8,8,8,2,1,2022
Rank in 15 NL teams,11,14,15,14,14,9,15,2,8,13,15,14,15,15,14,4,9,2023
